id,loc,x,y,date,n_detections
A69-1602-9720,SB-1,-119.025,33.488,2019-08-09,9
A69-1602-9720,SB-1,-119.025,33.488,2019-10-01,9
A69-1602-9720,SB-6,-119.0457167,33.468,2019-07-31,9
A69-1602-9720,SB-6,-119.0457167,33.468,2019-09-01,9
A69-1602-9720,SB-6,-119.0457167,33.468,2019-09-07,9
A69-1602-9720,SB-6,-119.0457167,33.468,2019-09-20,9
A69-1602-9720,SB-6,-119.0457167,33.468,2019-10-09,9
A69-1602-9720,SB-9,-119.0260167,33.471,2019-09-01,9
A69-1602-9720,SB-9.5,-119.02422,33.4777,2019-07-16,9
A69-1602-9720,SB-9.5,-119.02422,33.4777,2019-08-07,9
A69-1602-9721,Mound Inshore,-119.0193,33.4879,2019-07-15,9
A69-1602-9721,Mound Inshore,-119.0193,33.4879,2019-09-27,9
A69-1602-9721,Mound Offshore,-119.0168,33.4876,2019-08-03,9
A69-1602-9721,SB-10,-119.0228,33.484,2019-07-30,9
A69-1602-9721,SB-6,-119.0457167,33.468,2019-07-05,9
A69-1602-9721,SB-6,-119.0457167,33.468,2019-07-18,9
A69-1602-9721,SB-6,-119.0457167,33.468,2019-07-22,9
A69-1602-9721,SB-6,-119.0457167,33.468,2019-07-29,9
A69-1602-9721,SB-6,-119.0457167,33.468,2019-08-16,9
A69-1602-9721,SB-9,-119.0260167,33.471,2019-07-19,9
A69-1602-9721,SB-9.5,-119.02422,33.4777,2019-07-14,9
A69-1602-9721,SB-9.5,-119.02422,33.4777,2019-07-20,9
A69-1602-9721,SB-9.5,-119.02422,33.4777,2019-07-25,9
A69-1602-9721,SB-9.5,-119.02422,33.4777,2019-07-28,9
A69-1602-9721,SB-9.5,-119.02422,33.4777,2019-08-08,9
A69-1602-9722,SB-7,-119.0418333,33.464,2018-10-08,9
A69-1602-9722,SB-7,-119.0418333,33.464,2018-10-20,9
A69-1602-9723,Mound Offshore,-119.0168,33.4876,2019-08-18,9
A69-1602-9723,Mound Offshore,-119.0168,33.4876,2019-10-04,9
A69-1602-9723,SB-1,-119.025,33.488,2019-10-12,9
A69-1602-9723,SB-10,-119.0228,33.484,2019-09-14,9
A69-1602-9723,SB-5,-119.0476,33.476,2019-08-31,9
A69-1602-9723,SB-6,-119.0457167,33.468,2019-08-19,9
A69-1602-9723,SB-6,-119.0457167,33.468,2019-09-17,9
A69-1602-9723,SB-7,-119.0418333,33.464,2019-07-10,9
A69-1602-9723,SB-7,-119.0418333,33.464,2019-08-31,9
A69-1602-9723,SB-7,-119.0418333,33.464,2019-09-20,9
A69-1602-9723,SB-9,-119.0260167,33.471,2019-07-23,9
A69-1602-9723,WR-C,-119.0592,33.48881,2019-09-02,9
A69-1602-9712,SB-1,-119.025,33.488,2018-08-17,8
A69-1602-9712,SB-1,-119.025,33.488,2019-06-30,8
A69-1602-9712,SB-1,-119.025,33.488,2019-07-11,8
A69-1602-9712,SB-1,-119.025,33.488,2019-08-03,8
A69-1602-9712,SB-10,-119.0228,33.484,2018-08-17,8
A69-1602-9712,SB-10,-119.0228,33.484,2019-07-01,8
A69-1602-9712,SB-6,-119.0457167,33.468,2019-06-13,8
A69-1602-9712,SB-6,-119.0457167,33.468,2019-06-21,8
A69-1602-9712,SB-6,-119.0457167,33.468,2019-07-08,8
A69-1602-9712,SB-6,-119.0457167,33.468,2019-07-13,8
A69-1602-9712,SB-6,-119.0457167,33.468,2019-07-14,8
A69-1602-9712,SB-6,-119.0457167,33.468,2019-07-28,8
A69-1602-9712,SB-7,-119.0418333,33.464,2018-08-17,8
A69-1602-9712,SB-7,-119.0418333,33.464,2018-11-05,8
A69-1602-9712,SB-7,-119.0418333,33.464,2018-11-10,8
A69-1602-9712,SB-7,-119.0418333,33.464,2018-11-15,8
A69-1602-9712,SB-7,-119.0418333,33.464,2018-11-28,8
A69-1602-9712,SB-7,-119.0418333,33.464,2019-01-02,8
A69-1602-9712,SB-9,-119.0260167,33.471,2019-06-19,8
A69-1602-9712,SB-9.5,-119.02422,33.4777,2019-07-20,8
A69-1602-9712,SB-9.5,-119.02422,33.4777,2019-07-21,8
A69-1602-9716,Mound Inshore,-119.0193,33.4879,2019-08-28,8
A69-1602-9716,Mound Offshore,-119.0168,33.4876,2019-09-06,8
A69-1602-9716,SB-6,-119.0457167,33.468,2019-08-28,8
A69-1602-9716,SB-6,-119.0457167,33.468,2019-08-30,8
A69-1602-9716,SB-6,-119.0457167,33.468,2019-09-22,8
A69-1602-9716,SB-6,-119.0457167,33.468,2019-09-23,8
A69-1602-9716,SB-6,-119.0457167,33.468,2019-10-02,8
A69-1602-9716,SB-7,-119.0418333,33.464,2018-08-18,8
A69-1602-9716,SB-7,-119.0418333,33.464,2018-08-27,8
A69-1602-9716,SB-7,-119.0418333,33.464,2018-09-05,8
A69-1602-9716,SB-7,-119.0418333,33.464,2018-09-07,8
A69-1602-9716,SB-7,-119.0418333,33.464,2018-09-08,8
A69-1602-9716,SB-7,-119.0418333,33.464,2018-10-18,8
A69-1602-9716,SB-7,-119.0418333,33.464,2018-11-04,8
A69-1602-9716,SB-9.5,-119.02422,33.4777,2019-08-10,8
A69-1602-9716,SB-9.5,-119.02422,33.4777,2019-08-20,8
A69-1602-9716,SB-9.5,-119.02422,33.4777,2019-09-14,8
A69-1602-9716,SB-9.5,-119.02422,33.4777,2019-09-16,8
A69-1602-9716,SB-9.5,-119.02422,33.4777,2019-10-03,8
A69-1602-9718,SB-1,-119.025,33.488,2019-07-19,8
A69-1602-9718,SB-1,-119.025,33.488,2019-07-21,8
A69-1602-9718,SB-1,-119.025,33.488,2019-07-31,8
A69-1602-9718,SB-1,-119.025,33.488,2019-08-16,8
A69-1602-9718,SB-3,-119.04055,33.487,2019-07-12,8
A69-1602-9718,SB-3,-119.04055,33.487,2019-08-01,8
A69-1602-9718,SB-3,-119.04055,33.487,2019-08-03,8
A69-1602-9718,SB-3,-119.04055,33.487,2019-08-24,8
A69-1602-9718,SB-3,-119.04055,33.487,2019-09-19,8
A69-1602-9718,SB-3,-119.04055,33.487,2019-09-23,8
A69-1602-9718,SB-6,-119.0457167,33.468,2019-08-05,8
A69-1602-9718,SB-7,-119.0418333,33.464,2018-08-16,8
A69-1602-9718,SB-7,-119.0418333,33.464,2018-10-14,8
A69-1602-9718,SB-8,-119.0348,33.461,2018-09-23,8
A69-1602-9718,SB-8,-119.0348,33.461,2018-10-23,8
A69-1602-9718,SB-8,-119.0348,33.461,2018-11-17,8
A69-1602-9718,SB-8,-119.0348,33.461,2018-11-18,8
A69-1602-9718,SB-9,-119.0260167,33.471,2018-09-03,8
A69-1602-9718,SB-9,-119.0260167,33.471,2018-09-24,8
A69-1602-9718,SB-9,-119.0260167,33.471,2018-10-23,8
A69-1602-9718,SB-9,-119.0260167,33.471,2018-11-16,8
A69-1602-9718,SB-9,-119.0260167,33.471,2018-11-18,8
A69-1602-9718,SB-9,-119.0260167,33.471,2019-05-23,8
A69-1602-9718,SB-9,-119.0260167,33.471,2019-07-21,8
A69-1602-9718,SB-9.5,-119.02422,33.4777,2019-06-07,8
A69-1602-9718,SB-9.5,-119.02422,33.4777,2019-07-17,8
A69-1602-9718,SB-9.5,-119.02422,33.4777,2019-08-06,8
A69-1602-9718,SB-9.5,-119.02422,33.4777,2019-08-25,8
A69-1602-9719,SB-1,-119.025,33.488,2019-07-18,8
A69-1602-9719,SB-10,-119.0228,33.484,2019-07-11,8
A69-1602-9719,SB-10,-119.0228,33.484,2019-07-15,8
A69-1602-9719,SB-6,-119.0457167,33.468,2019-07-02,8
A69-1602-9720,Mound Inshore,-119.0193,33.4879,2019-08-09,8
A69-1602-9720,Mound Inshore,-119.0193,33.4879,2019-08-26,8
A69-1602-9720,Mound Inshore,-119.0193,33.4879,2019-09-24,8
A69-1602-9720,Mound Inshore,-119.0193,33.4879,2019-10-01,8
A69-1602-9720,SB-1,-119.025,33.488,2019-07-17,8
A69-1602-9720,SB-1,-119.025,33.488,2019-09-13,8
A69-1602-9720,SB-1,-119.025,33.488,2019-09-15,8
A69-1602-9720,SB-6,-119.0457167,33.468,2019-07-06,8
A69-1602-9720,SB-6,-119.0457167,33.468,2019-07-15,8
A69-1602-9720,SB-6,-119.0457167,33.468,2019-08-04,8
A69-1602-9720,SB-6,-119.0457167,33.468,2019-08-29,8
A69-1602-9720,SB-6,-119.0457167,33.468,2019-09-06,8
A69-1602-9720,SB-6,-119.0457167,33.468,2019-09-15,8
A69-1602-9720,SB-9.5,-119.02422,33.4777,2019-07-09,8
A69-1602-9720,SB-9.5,-119.02422,33.4777,2019-07-10,8
A69-1602-9720,SB-9.5,-119.02422,33.4777,2019-08-13,8
A69-1602-9720,SB-9.5,-119.02422,33.4777,2019-08-15,8
A69-1602-9720,SB-9.5,-119.02422,33.4777,2019-10-12,8
A69-1602-9721,Mound Inshore,-119.0193,33.4879,2019-07-19,8
A69-1602-9721,Mound Inshore,-119.0193,33.4879,2019-09-19,8
A69-1602-9721,Mound Offshore,-119.0168,33.4876,2019-07-17,8
A69-1602-9721,Mound Offshore,-119.0168,33.4876,2019-10-08,8
A69-1602-9721,SB-1,-119.025,33.488,2019-07-21,8
A69-1602-9721,SB-1,-119.025,33.488,2019-07-30,8
A69-1602-9721,SB-1,-119.025,33.488,2019-08-27,8
A69-1602-9721,SB-6,-119.0457167,33.468,2019-07-26,8
A69-1602-9721,SB-6,-119.0457167,33.468,2019-10-01,8
A69-1602-9721,SB-6,-119.0457167,33.468,2019-10-03,8
A69-1602-9723,Mound Inshore,-119.0193,33.4879,2019-08-31,8
A69-1602-9723,Mound Inshore,-119.0193,33.4879,2019-09-12,8
A69-1602-9723,Mound Inshore,-119.0193,33.4879,2019-09-13,8
A69-1602-9723,Mound Offshore,-119.0168,33.4876,2019-08-03,8
A69-1602-9723,Mound Offshore,-119.0168,33.4876,2019-09-10,8
A69-1602-9723,SB-1,-119.025,33.488,2019-09-21,8
A69-1602-9723,SB-10,-119.0228,33.484,2019-07-17,8
A69-1602-9723,SB-10,-119.0228,33.484,2019-08-05,8
A69-1602-9723,SB-5,-119.0476,33.476,2019-08-10,8
A69-1602-9723,SB-6,-119.0457167,33.468,2019-07-02,8
